time,step-size,{bodyFMU}.body.body.omega.flow,{bodyFMU}.body.body.v.flow[1],{bodyFMU}.body.robot_theta,{bodyFMU}.body.robot_x,{bodyFMU}.body.robot_y,{bodyFMU}.body.robot_z,{controllerFMU}.controller.servoLeftVal,{controllerFMU}.controller.servoRightVal,{sensor1FMU}.sensor1.lf_1_sensor_reading,{sensor2FMU}.sensor2.lf_1_sensor_reading
17.249999999999897,0.01,0.4195449408049577,0.05167091027074098,3.4000616017478675,-0.10900699303982964,-0.15953037251865976,0.0,0.1,-0.5,254.00000000000006,11.000000000000002
17.2599999999999,0.01,0.43242284691024374,0.05167104212784594,3.404322010151526,-0.10882276679584635,-0.16001603465690967,0.0,0.1,-0.5,255.00000000000006,16.000000000000004
17.2699999999999,0.01,0.4446965954512236,0.05167116810621379,3.4087080719601492,-0.10863491526095817,-0.16050048415457485,0.0,0.1,-0.5,254.00000000000006,19.000000000000004
17.2799999999999,0.01,0.4564284663328273,0.05167128897025408,3.413214158780832,-0.10844345542451886,-0.1609836942708544,0.0,0.1,-0.5,255.00000000000006,19.000000000000004
17.289999999999903,0.01,0.46762294748884015,0.05167140419359567,3.4178348608559532,-0.10824840317760645,-0.16146563782633003,0.0,0.1,-0.5,254.00000000000006,29.000000000000007
17.299999999999905,0.01,0.47830896922219057,0.05167151382751465,3.422564939664933,-0.10804977577039243,-0.16194628792472424,0.0,0.1,-0.5,255.00000000000006,29.000000000000007
17.309999999999906,0.01,0.48851077706051305,0.051671617911032065,3.427399440771868,-0.10784758975164568,-0.16242561742564854,0.0,0.1,-0.5,254.00000000000006,33.00000000000001
17.319999999999908,0.01,0.49824893009805554,0.05167171643557097,3.4323336232414197,-0.10764186164821413,-0.16290359916356567,0.0,0.1,-0.5,255.00000000000006,36.00000000000001
17.32999999999991,0.01,0.5075450331425438,0.05167180946738113,3.4373629592638735,-0.10743260798540424,-0.16338020598420533,0.0,0.1,-0.5,254.00000000000006,41.00000000000001
17.33999999999991,0.01,0.5164191141795701,0.051671897080621136,3.4424831297689904,-0.10721984517166067,-0.16385541073605858,0.0,0.1,-0.5,254.00000000000006,41.00000000000001
17.349999999999913,0.01,0.5248902577432268,0.05167197936527836,3.447690010468869,-0.10700358957175221,-0.16432918631372956,0.0,0.1,-0.5,254.00000000000006,52.000000000000014
